عشيرت,aşiret,oymak
عشق,aşk,sevi
عطالت,atalet,"1) tembellik, gevşeklik, uyuşukluk 2) dinginlik, durağanlık, süredurum"
عته,ateh,"bunama, bunaklık"
عطفا,atfen,"dayanarak, göre"
عطف,atıf,"1) yöneltme, çevirme 2) gönderme"
عاطل,atıl,"1) işe yaramaz, iş görmez 2) süreduran"
آتی,ati,gelecek
عوانه,avane,"yardakçılar, kafadarlar"
عودت,avdet,dönüş
عيان,ayan,"belli, açık"
عيان بيان,ayan beyan,"apaçık, açık seçik, besbelli"
عينا,aynen,"olduğu gibi, tıpkı"
عين,aynı,"1) tıpkı, tıpkısı, özdeş"
عينى,ayni,nesnesel
عينيت,ayniyet,"tıpkılık, özdeşlik"
عياش,ayyaş,içkici
عيوقه چيقمق,ayyuka çıkmak,"1) göklere çıkmak, yükselmek 2) yayılmak"
اعضا,aza,üye
عظمت,azamet,"1) ululuk 2) çalım, kurum"
اعظمی,azami,"en çok, en üst, en büyük, en yüksek"
عذاب,azap,ezinç
عزل,azil,görevden alma
عزیمت,azimet,gidiş
بادره,badire,"dar geçit, dar boğaz, sıkıntı"
بحر,bahir,deniz
بحث,bahis,1) konu 2) söz
بقایا,bakâyâ,kalıntı
باقی,baki,"1) artan, kalan 2) kalımlı, ölümsüz"
باكر,bakir,"el değmemiş, işlenmemiş, bozulmamış, dokunulmamış"
باكره,bakire,"kız, kız oğlan kız, erden"
بقيه,bakiye,"kalan, artan"
بقليه,bakliye,baklagil
بالغ,baliğ,"1) erin 2) varan, bulan"
بانیٖ,bani,"kuruce, kuran"
باب,bap,1) kapı 2) bölüm 3) konu
بارز,bariz,"açık, belirgin"
بصيرت,basiret,sağgörü
بسيط,basit,"1) yalın, yalınç 2) kolay 3) sıradan"
باطل,batıl,"boş, dayanaksız"
باطنی,batıni,içrek
بایع,bayi,1) satıcı 2) satış yeri
بعضا,bazen,"kimi kez, arada, arada bir, ara sıra"
بعض,bazı,1) kimi 2) birtakım
بدل,bedel,1) karşılık 2) tutar
بدن,beden,gövde
بدر,bedir,dolunay
بئيس,beis,sakınca
بقا,beka,kalım
بکارت,bekâret,erdenlik
بلاهت,belahet,alıklık
بلده,belde,kent
بلدیه,belediye,yerel yönetim
برات,berat,aklanma
بيان,beyan,"söyleme, bildirme"
بيانات,beyanat,demeç
بيان نامه,beyanname ***,"bildirge, bildiri"
بياض,beyaz,ak
بين الملل,beynelmilel,uluslararası
بيضی,beyzi,"söbe, yumurtamsı"
بدایت,bidayet,"başlama, başlangıç"
بحق,bihakkın,"adamakıllı, iyice"
بلا استثنا,bilaistisna,ayrıksız
بالعكس,bilakis,tersine
بلا واسطه,bilavasıta,"dolaysız, doğrudan"
بالجمله,bilcümle,bütün
بالفرض,bilfarz,"diyelim ki, sözgelişi"
بالفعل,bilfiil,"edimli olarak, doğrudan"
بالخاصه,bilhassa,özellikle
بالالتزام,bililtizam,"bile bile, isteyerek"
بالاستفاده,bilistifade,yararlanarak
بالمقابله,bilmukabele,"1) karşılıklı olarak 2) ben de, siz de"
بالعموم,bilumum,bütün
بناء,bina,yapı
بناء,binaen,"1) -den dolayı, -den ötürü 2) dayanarak"
بناء عليه,binaenaleyh,"dolayısıyla, bundan dolayı"
بالطبع,bittabi,doğal olarak
بذاته,bizatihi,"kendisi, kendiliğinden"
بالذات,bizzat,"kendisi, aracısız"
بخار,buhar,buğu
بحران,buhran,1) bunalım 2) (sayrılıkta) bunluk
بخور,buhur,tütsü
برج,burç,dönence
بطلان,butlan,"geçersizlik, çürüklük"
بعد,bud,1) boyut 2) uzunluk
,,
بلوغ,büluğ,ergenlik
بنيه,bünye,yapı
جامعه,camîa,topluluk
جبرا,cebren,zorla
جلسه,celse,oturum
ceninisakıt,ceninisakıt,düşük
جنوب,cenup,güney
جراحت,cerahat,irin
جواب,cevap,yanıt
جهاز,cihaz,aygıt
جهت,cihet,"yön, yan"
جوار,civar,dolayları
جمله,cümle,söylem
"دفعه, کره","defa, kere",kez
دائر,dair,ilişkin
دائره,daire,yuvarlak
دفينه,define,gömü
دليل,delil,kanıt
دور,devir,çağ
دوره,devre,dönem
ابعاد,ebat,boyut
ابدی,ebedî,sonsuz
اجداد,ecdat,ata
اجل,ecel,ölüm
ادبیات,edebiyat,yazın
اهميت,ehemmiyet,önem
البسه,elbise,giysi
امر,emir,buyruk
امنيت,emniyet,güvenlik
اثر,eser,çıkarma
اسير,esir,tutsak
اطراف,etraf,ortalık
اوراق,evrak,belge
اول,evvel,önce
فعال,faal,etkin
فائض,faiz,"ürem **, getiri"
فقير,fakir,yoksul
"فن fenn *, علم ˤilm *","fen, ilim",bilim
فيضان,feyezan,taşkın
فرقت,fırkat,ayrılık
فكر,fikir,görüş
فعل,fiil,eylem
غرب,garp,batı
غير,gayri,"olmayan, başka, dışı"
غدا,gıda,besin
حادثه,hadise,olay
حافظه,hafıza,bellek
خفيف,hafif,yeğni **
حفريات,hafriyat,kazı
حق,hak,pay
حقيقت,hakikat,gerçek
حاكم,hâkim,yargıç
"حال hâl *, وضعيت vazˤiyet *","hâl, vaziyet",durum
خليطه,halita,alaşım
حامله,hamile,gebe
خراب,harap,yıkık
حرارت,hararet,"ısı ¹, sıcaklık ²"
حركت,hareket,devinim **
حرف,harf,"ses, imce **"
حسرت,hasret,özlem
حساس,hassas,duyarlı
حشره,haşere,böcek
"خطا hatâ *, قصور kusûr *","hata, kusur",yanlış
خاطره,hatıra,anı
"حيات , عمر ömr *","hayat, ömür","yaşam, dirim, dirlik"
حيثيت,haysiyet,saygınlık
حضم,hazım,sindirim
هديه,hediye,armağan
حدت,hiddet,"kızgınlık, öfke"
حكایه,hikâye,öykü
خلاف,hilaf,karşıt
حس,his,duygu
خواجه,hoca,"öğretmen, öğretici"
حقوق,hukuk,tüze **tüzük
خصوص,husus,konu
حضور,huzur,dirlik **
حجره,hücre,göze **
هجوم,hücum,saldırı
حرمت,hürmet,saygı
اصرار,ısrar,üsteleme
ابتدائی,iptidai,ilkel
اجتماع,içtima,toplantı
اجتماع,içtima,kavuşum
اجتماعی,içtimai,toplumsal
افتخار,iftihar,övünme
احتراص,ihtiras,tutku
احتياج,ihtiyaç,gereksinme ya da gereksinim
اختيار,ihtiyar,yaşlı
احتياط,ihtiyat,yedek
اقتباس,iktibas,alıntı
علاوه,ilave,ek
الهام,ilham,esin
اعمار,imar,bayındırlık
امكان,imkân,olanak
املا,imla,yazım
امتحان,imtihan,"sınav, yazılı"
امتياز,imtiyaz,ayrıcalık
انحصار,inhisar,tekel
انسان,insan,kul **
انطباع,intiba,izlenim
انتحال,intihal,aşırma
ارتفاع,irtifa,yükseklik
ارثی,ırsi,"kalıtlık, kalıtımlık"
اسم,isim,ad
استراحت,istirahat,dinlenme
استثناء,istisna,aykırı
اشتغال,iştigal,uğraş / uğraşı
اشتراك,iştirak,ortaklık
ایضاح,izah,açıklama
ازدواج,izdivaç,evlilik
قابليت,kabiliyet,yetenek / yeti
قدر,kader,yazgı **
qaffa *,kafa,baş
كافی,kâfi,yeter
كائنات,kâinat,evren
قلب,kalp,yürek
قانون,kanun,yasa
kanunuesasi,kanunuesasi,anayasa
قافيه,kafiye,uyak
كانون اول kânûn-ı evvel,,aralık
كانون ثانی kânûn-ı sânî,,ocak
كلمه,kelime,söz
,,"kızıl, al"
قسم,kısım,bölüm
كتاب,kitap,betik **
كفر,küfür,sövme
قوت,kuvvet,güç ya da erk
كره,küre,yuvar
لطيفه,latife,şaka
لسان,lisan,dil
لغات lûġat,lügat,sözlük
لزوملو lüzûmlu *,lüzumlu,gerekli
معاش,maaş,aylık
معبد,mabet,tapınak
مادی,maddî,özdeklik **
مفصل,mafsal,eklem
مغدور,mağdur,kıygın **
مغلوبيت,mağlubiyet,yenilgi
محفوظ,mahfuz,saklı
مخلوق,mahluk,yaratık
محصول,mahsul,ürün
مخصوص,mahsus,özgü
مقصد,"maksat, gaye, hedef",amaç ya da erek
معقول,makul,"uygun, elverişli"
معنی,mâna,anlam
معنوی,manevî,tinsel **
مانع,mani,engel
مصرف,masraf,"gider, harcama"
mavi *,mavi,gökçe **
مجاز,mecaz,"iğretileme, eğretileme"
مجبور,mecbur,zorunlu
مجهول,meçhul,bilinmeyen
مدنی,medeni,uygar
مدنيت,medeniyet,uygarlık
مفهوم,mefhum,kavram
مکروه,mekruh,iğrenç
ملكه,meleke,alışkanlık
melez *,melez,kırma
مملکت,memleket,"ülke, yurt"
مراسم,merasim,tören
مرثيه,mersiye,ağıt
مسافه,mesafe,uzaklık
مثلا,mesela,örneğin
مسئله,mesele,sorun
مسعود,mesut,mutlu
مسئوليت,mesuliyet,sorumluluk
مشهور,meşhur,ünlü
مشروبات,meşrubat,içecek
موقع mevkiˤ  مكان mekân *,"mevki, mekân","yer, konum"
"ميدان meydân *, ساحه sâha","meydan, saha",alan
ميل meyl *,meyil,"eğim, eğilim"
مزار,mezar,gömüt **
منطقه,mıntıka,bölge
مصراع,mısra,dize
ميراث,miras,kalıt **
مسافر misâfir *,misafir,konuk
مثال misâl *,misal,örnek
مسکين miskîn *,miskin,"uyuşuk, mıymıntı"
معامله muˤâmele *,muamele,davranış
معما muˤammâ,muamma,bilmece
معاصر muˤâsır,muasır,"çağdaş, güncel"
معاون muˤâvin *,muavin,yardımcı
معجزه muˤcize *,mucize,tansık **
مغدی mugaddii,mugaddi,besleyici
مغالطه mugalata,mugalata,yanıltmaca
"مغنی muganni, muganniye","muganni,muganniye",şarkıcı
مغایرت mugayeret,mugayeret,aykırılık
مغایر  mugayir,mugayir,aykırı
مغبر mugber,muğber,"küskün,  gücenmiş, dargın"
مغلق  muglak *,muğlak,çapraşık
مخابره   muhabere,muhabere,"iletişim, iletişme"
muhaceret,muhaceret,göç
muhacim,muhacim,"saldıran, saldırıcı"
muhacir,muhacir,göçmen
muhaddep,muhaddep,dış bükey
muhafaza *,muhafaza,koruma
muhafazakâr *,muhafazakâr,tutucu
muhafız,muhafız,koruyucu
muhakeme *,muhakeme,"yargılama, uslamlama"
muddat *,müddet,süre
محقق muhakkak*,muhakkak,kesin(likle)
muhakkik,muhakkik,soruşturmacı
muhal,muhal,olanaksız
muhallaffat *,muhalefet,karşıtlık
muhammen,muhammen,"oranlanan, ön görülen"
muhammes,muhammes,beşgen
muhammin,muhammin,ön gören
"محاربه muhârebe, حرب harb","muharebe, harp",savaş
muharip,muharip,savaşçı
muharrer,muharrer,"yazılı, yazılmış"
muharrik,muharrik,"kışkırtıcı, ayartıcı"
muharriş,muharriş,"tırmalayan, irkilten"
muhassamat,muhasamat,çarpışma
muhasara,muhasara,kuşatma
muhasebe *,muhasebe,sayıcılık
muhasebeci *,muhasebeci,sayıcı
muhassır,muhasır,kuşatan
muhassala,muhassala,bileşke
muhassas,muhassas,ayrılmış
muhat,muhat,kuşatılmış
muhavvil,muhavvil,dönüştüren
muhavvile,muhavvile,dönüştürücü
muhtemel,muhtemel,olası
محتويات muhteviyyât,muhteviyat,içindekiler
مقدس mukaddes,mukaddes,kutlu
مقاوله mukâvele,mukavele,sözleşme
منتظم muntazam *,muntazam,"düzgün, düzenli"
مربع murabbaˤ,murabba,dördül
murafaa,murafaa,duruşma
معتدل muˤtedil,mutedil,ılım(lı)
موفقيت muvaffakıyyet,muvaffakiyet,başarı
مبالغه mübalâga,mübalağa,abartma
مجادله mücâdele *,mücadele,"çaba, uğraş"
mücerrit,mücerrit,soyut
مدافعه müdâfaˤa,müdafaa,koruma
مداخله müdâhale *,müdahale,karışma
مدت müddet *,müddet,süre
mudrike,müdrike,anlık
mudrir,müdrir,sidik söktürücü
muebbet *,müebbet,"yaşam boyu, sonsuz"
mueccel,müeccel,ertelenmiş
mueddep,müeddep,uslu
muelleffat,müellefat,(yazılı) çıkarma
"muellif, muharrir","müellif, muharrir",yazar
muemmen,müemmen,sağlanmış
muennes,müennes,dişil
مؤسسه mu'essese,müessese,kurum
muessif,müessif,üzücü
muessir,müessir,dokunaklı
muessis,müessis,kurucu
mueyyide,müeyyide,yaptırım
mufekkrireh,müfekkire,düşünce gücü
muferrih,müferrih,iç açıcı
mufrett,müfret,tekil
muflis,müflis,batkın
مهم mühim *,mühim,önemli
مؤمن mü'min,mümin,"inanan, inançlı"
مناسبت münâsebet *,münasebet,ilişki
مراجعت mürâcaˤat,müracaat,başvuru
mürekkeb,mürekkep,"birleşmiş, birleşik"
murrettip,mürettip,dizgici
مسابقه müsâbaka,müsabaka,karşılaşma
مسامحه müsâmaha,müsamaha,"hoşgörü, dözüm"
musavi,müsavi,eşit
مستهجن  müstehcen *,müstehcen,uygunsuz
مسوده müsvedde *,müsvedde,taslak
"muşabbih, mumassil","müşabih, mümasil",benzer
muşşabbahat,müşabehet,benzerlik
müşahhas,müşahhas,somut
مشكل müşkül,müşkül,"güç, güçlük, çetin **"
muşkul-pesend,müşkülpesent,"güç beğenen, titiz"
muşrik,müşrik,çoktanrıcı
müştak,müştak,türev
muştehi,müştehi,istekli
muşteki,müşteki,"yakınan, sızlanan"
muştemilat,müştemilat,eklenti
muşterek *,müşterek,ortak
muştereken,müştereken,ortaklaşa
muşteri *,müşteri,"alıcı, alımcı"
mut'a,müt'a,geçici kazanç
مطالعه mütâlâˤa,mütalâa,1) okuma 2) düşünce 3) irdeleme
متارکه mütâreke,mütareke,"ateşkes, (silah) bıraışma"
muteaddit,müteaddit,"çok, birçok"
muteaffin,müteaffin,"kokuşuk, pis kokulu"
muteahhid *,müteahhit,"üstenci, yüklenici"
muteahhidlik,müteahhitlik,"üstencilik, yüklenicilik"
muteakiben,müteakiben,arkadan
muteakib,müteakip,"sonra, ardından"
mutealiye,mütealiye,deneyüstücülük
muteallik,müteallik,"ilişkin, ilgili"
muteammim,müteammim,"yaygınlaşmış, genelleşmiş"
mutearife,mütearife,belit **
mutebaki,mütebaki,kalan
mutebasbıs,mütebasbıs,yaltakçı
mutebeddil,mütebeddil,"değişen, kararsız"
mutebessim,mütebessim,"gülümseyen, güleç"
mutecanis,mütecanis,bağdaşık
mutecasir,mütecasir,yeltenen
mutecaviz,mütecaviz,saldırgan
mutedeyyin,mütedeyyin,dindar
muteessir,müteessir,üzüntülü
mutefekkir,mütefekkir,düşünür
متفرق müteferrik,müteferrik,dağınık
mutehammil,mütehammil,dayanıklı
muteharrik,müteharrik,"devingen, oynar"
متخصص mütehassıs,mütehassıs,uzman
muteşşebbis,müteşebbis,girişimci
mütevâzî *,mütevazı,alçakgönüllü
muteveffa,müteveffa,"ölü, ölmüş"
muttefik *,müttefik,bağlaşık**
muzayyadeh,müzayede,açık arttırma
مزمن müzmin,müzmin,süreğen
"nadir *, ender *","nadir, ender",seyrek
نغمه nağme,nağme,ezgi
nafile *,nafile,boşuna
نصيحت nasîhat *,nasihat,öğüt
nâzır,nazır,bakan
نفس nefes *,nefes,soluk
nesiç,nesiç,doku
nesl *,nesil,kuşak
نتيجه netîce *,netice,sonuç
nezif,nezif,kanama
nısf,nısıf,yarı(m)
نهايت nihâyet *,nihayet,son(unda)
نكاح nikâh *,nikâh,düğün
نسبت nisbet *,nispet,oran
نطق nutk *,nutuk,söylev
ragmen *,rağmen,karşın
rakip *,rakip,karşıdaş
رأی re'y,rey,oy
رئيس re'îs,reis,başkan
ruh *,ruh,tin **
rutûbet *,rutubet,"yaşlık, ıslaklık"
رؤيا   rü'ya *,rüya,düş
sahil *,sahil,"yaka, kıyı"
sahip *,sahip,iye **
sahte *,sahte,düzmece
samimî *,samimi,içten
سطح sath,satıh,yüzey
سياره sayyâre,seyyare,araba
سبب sebeb *,sebep,neden
safarat,sefaret,büyükelçilik
سلامت selâmet,selamet,esenlik
سما semâ,sema,gök
سنه sene *,sene,yıl
seviye *,seviye,düzey
صحت sıhhat,sıhhat,sağlık
sihr *,sihir,büyü
صحبت sohbet *,sohbet,söyleşi
سؤال su'âl,sual,soru
صلح sulh,sulh,barış
sunî,suni,"yapma, yapay"
سکوت sükût,sükût,sessizlik
sürˤat *,sürat,hız
şâhid *,şahit,tanık
şair *,şair,ozan
شرق şark,şark,doğu
şart *,şart,koşul
şatafat(lı),şatafat(lı),gösteriş(li)
şehir *,şehir,kent
شمال şimâl,şimal,kuzey
şuˤûr *,şuur,bilinç
şübheli *,şüpheli,sanık
tabaqqa *,tabaka,katman
طبيعت ṭabîˤat *,tabiat,doğa
طبيعى ṭabîˤî *,tabii,"doğma, doğal"
"taˤbîr, ifâde*","tabir, ifade",deyiş**
tahlil *,tahlil,inceleme
tahmin *,tahmin,kestirim**
taˤkib*,takip,izlem**
طلب ṭaleb *,talep,istek
طلبه ṭalebe,talebe,öğrenci
"تعمير taˤmîr *, تعديلات taˤdîlât *","tamir, tadilat",onarım
taraf *,taraf,bulun
taraftar *,taraftar,bulundaş
tarih *,tarih,günay **
tasallut,tasallut,sarkıntılık
tasavvur,tasavvur,"canlandırma, tasarı"
tasdîk *,tasdik,onay
tashîh,tashih,düzeltme
تصوير tasvîr *,tasvir,betimleme
طياره tayyâre,tayyare,uçak
توصيه tavsiye *,tavsiye,salık
تعادل teˤâdül,teadül,denklik
تعامل teˤâmül,teamül,"1) yapılageliş 2) tepkime, davranış"
tebessüm,tebessüm,gülümseme
تبديل tebdîl,tebdil,değişiklik
تبريك tebrîk *,tebrik,kutlama
تجلى tecellî,tecelli,belirme
تجسم tecessüm,tecessüm,görünme
tecrübe *,tecrübe,deneyim
techîzât *,teçhizat,donanım
tedavi *,tedavi,sağaltım **
tedbîr *,tedbir,önlem
te'essür,teessür,üzüntü
teferruat,teferruat,ayrıntı
تكامل tekâmül,tekamül,"evrim, gelişim, gelişme, olgunlaşma"
تقاعد tekaˤüd,tekaüt,emeklilik
tekeffül,tekeffül,yükümlenme
تكليف teklîf *,teklif,öneri
tekrar *,tekrar,yine
تلاش telâş *,telaş,"tasa, kaygı"
tenâsüb,tenasüp,uyum
تنبيه tenbîh *,tembih,uyarı
tercîh etmek *,tercih etmek,yeğlemek
tercüme *,tercüme,çeviri
terreddut *,tereddüt,duraksama
tertip *,tertip,düzen
tesir *,tesir,etki
teselli *,teselli,avunma
teşhis *,teşhis,tanı
تشرين اول teşrîn-i evvel,,ekim
تشرين ثانی teşrîn-i sânî,,kasım
teşvik *,teşvik,"özendirme, kışkırtma"
usûl *,usul,yöntem
unvan *,unvan,san
uslup *,üslup,biçem
vaˤd *,vaat,söz
vakˤâ *,vaka,olay
vakûr,vakur,ağırbaşlı
vasf *,vasıf,nitelik
vasıta,vasıta,araç
vâsi,vâsi,engin
vatan *,vatan,yurt
vatandaş *,vatandaş,yurttaş
vaz geçmek *,vazgeçmek,caymak
وضيفه vazîfe *,vazife,görev
ve *,ve,"ile, yene"
vehm,vehim,kuruntu
vilâyet*,vilayet,il
tefsîr *,tefsir,yorum
ضمير zamîr *,zamir,adıl
zaviye,zaviye,açı
